feature,importance
fa_atr__delta,0.04668657577726963
dSASA_vhh__delta,0.03405782282269065
dSASA_int__delta,0.03138081554253035
sc,0.030794185325629178
hbond_density__unrest,0.02434515828172622
n_hydrophobic_int,0.024226261085089264
ref__delta,0.02244390383909169
hbond_E_fraction__unrest,0.020811204491118788
hbonds_int__unrest,0.020476489191991014
hbond_density,0.01872002448307958
esm_pca_6,0.018435032275224868
hbond_lr_bb__delta,0.018392477402396322
dSASA_ag__delta,0.01706651268737124
dSASA_polar__delta,0.016741419781829265
dSASA_hphobic__delta,0.016352531178095573
esm_pca_0,0.014881018237986402
hbond_E_fraction,0.014471289248059925
hbonds_int,0.014470442537594096
esm_pca_2,0.01309520084297132
omega__delta,0.012653656029126582
nres_int__delta,0.011530830919628886
n_hydrophobic_int__unrest,0.010630701263450781
sc__delta,0.009790073827204569
sc__unrest,0.009480795132947846
esm_pca_21,0.00933781472288276
dSASA_hphobic,0.00865725685297864
esm_pca_3,0.008305658316367764
nres_int_vhh__delta,0.007892137404774461
dSASA_ag,0.006992883248654759
dSASA_vhh,0.006856919170066621
dSASA_hphobic__unrest,0.006811337654733327
esm_pca_12,0.006803288020337472
hbond_E_fraction__delta,0.006798661625174059
hbond_density__delta,0.006797242119105391
dSASA_int,0.006238362178255705
dSASA_int__unrest,0.0060318035367789595
dSASA_ag__unrest,0.005971252874872569
esm_pca_5,0.005923050113835563
esm_pca_28,0.005917694039852219
delta_unsatHbonds__unrest,0.005809921038485596
esm_pca_1,0.005747358576749325
esm_pca_19,0.005580867130126532
esm_pca_7,0.0055191983718263565
dSASA_vhh__unrest,0.005397260384153359
dSASA_polar__unrest,0.005345563902766498
nres_int_ag__delta,0.005307884406996012
esm_pca_26,0.005157355613261404
delta_unsatHbonds,0.005124785951920513
dSASA_polar,0.005114962537839109
omega__unrest,0.005086806989794709
esm_pca_10,0.0049610440281596755
esm_pca_14,0.004897734656576786
hbond_bb_sc__delta,0.004808708583494047
n_salt_bridges_int__unrest,0.00479006505823635
esm_pca_34,0.004713661656685936
pro_close__delta,0.004655064817256045
esm_pca_25,0.00465070074600535
yhh_planarity__unrest,0.004646083608517955
esm_pca_9,0.004639870884583012
esm_pca_11,0.004639565220985594
nres_int_vhh,0.00462108467490149
n_repulsive_int__unrest,0.004602446781602411
esm_pca_15,0.004581958989440656
esm_pca_37,0.004553454405677214
nres_int,0.0045174985701149075
yhh_planarity__delta,0.004506993877444283
esm_pca_57,0.004487953175099655
esm_pca_24,0.0044716209862848055
esm_pca_48,0.004436704519692881
hbonds_int__delta,0.004425110382022921
esm_pca_56,0.004396442239198188
esm_pca_8,0.004393994482085156
esm_pca_33,0.004382450434537141
omega,0.004303018459804236
esm_pca_47,0.004290674280172861
