feature,importance
fa_atr__delta,0.04712088596625601
dSASA_vhh__delta,0.04095999529791397
sc,0.040040850153560424
dSASA_int__delta,0.03310210150214274
n_hydrophobic_int,0.03290585143104449
hbond_density,0.026196391537658587
hbond_E_fraction,0.025241088700245336
ref__delta,0.023479713818286535
hbonds_int,0.02345137592139276
esm_pca_6,0.022685608695098152
dSASA_ag__delta,0.02133989802350853
dSASA_polar__delta,0.020367077053065338
hbond_lr_bb__delta,0.01941536997551126
dSASA_hphobic__delta,0.018093155465503566
esm_pca_0,0.017950175901181788
esm_pca_2,0.013938728036226446
omega__delta,0.013322210614615929
sc__delta,0.01260200863251135
esm_pca_21,0.011794709455521477
nres_int__delta,0.011029628547478024
dSASA_hphobic,0.01102607641857686
dSASA_int,0.010767820734296931
dSASA_ag,0.010485643259209405
dSASA_vhh,0.009475510870110206
esm_pca_3,0.009096972927580061
hbond_density__delta,0.008623169063608889
esm_pca_12,0.00853061874211506
hbond_E_fraction__delta,0.008323612411667972
dSASA_polar,0.008304711100208247
nres_int,0.007433535007223027
nres_int_ag__delta,0.007314580375745059
delta_unsatHbonds,0.007023040433322163
esm_pca_1,0.006953141606866695
nres_int_vhh,0.00687686723227713
esm_pca_7,0.006758907352775928
nres_int_vhh__delta,0.006502860454124772
esm_pca_5,0.006367593731212179
omega,0.006166091830880468
esm_pca_10,0.006140965847115478
esm_pca_28,0.0060630624245527
esm_pca_19,0.006017000955030472
hbond_bb_sc__delta,0.005973232413914875
nres_int_ag,0.005807119627634416
esm_pca_37,0.005803312092935822
esm_pca_26,0.005759538547568574
pro_close__delta,0.0057476642856479545
esm_pca_14,0.005725222598779133
esm_pca_24,0.005680470391965468
esm_pca_57,0.005660258618320819
esm_pca_15,0.005657583249898106
n_salt_bridges_int,0.005656646718537318
esm_pca_34,0.005591362144706823
hbond_sr_bb,0.0055435946907275435
fa_atr,0.005507579378516991
delta_unsatHbonds__delta,0.005469700848365792
hbond_sc,0.005398227105459032
esm_pca_4,0.00536110972353796
hbond_bb_sc,0.00531950843185155
yhh_planarity__delta,0.005298918346396807
esm_pca_25,0.005295300417841569
ref,0.00528971347557529
yhh_planarity,0.005283419316175157
esm_pca_11,0.005276752452626761
pro_close,0.005265124622033941
esm_pca_38,0.0052568569035787195
esm_pca_56,0.005183382069044524
esm_pca_47,0.005151227023386377
hbond_lr_bb,0.0050792634945979985
esm_pca_29,0.005043935935061823
esm_pca_60,0.005038147568372226
esm_pca_9,0.005026624236676602
esm_pca_43,0.0049997379184297825
esm_pca_8,0.004999102804090144
hbond_sr_bb__delta,0.004966247608692973
esm_pca_22,0.004950299752569384
hbond_sc__delta,0.004924831817842656
esm_pca_23,0.004924060990617614
esm_pca_54,0.004923022792538733
hbonds_int__delta,0.00489649470585436
esm_pca_36,0.004879989008915124
esm_pca_35,0.004866241174273087
esm_pca_62,0.004842896570520286
esm_pca_58,0.004838988407743168
esm_pca_53,0.004821849347874842
esm_pca_39,0.0047951972223505045
esm_pca_48,0.00478855805785024
esm_pca_33,0.004787766176764543
esm_pca_13,0.004786420223394014
rama_prepro,0.004758626821982411
esm_pca_40,0.004752290073207806
esm_pca_61,0.004739774405415038
esm_pca_32,0.004726958570517546
esm_pca_55,0.004698554854110518
esm_pca_16,0.004683431938436112
esm_pca_31,0.004606114096845282
esm_pca_18,0.004602074005886407
esm_pca_50,0.004600635186825883
esm_pca_63,0.004583767091787907
esm_pca_27,0.004553407819707393
esm_pca_52,0.0045227302671292146
esm_pca_59,0.0044693282306462545
esm_pca_20,0.004466021210054108
esm_pca_41,0.004465411643127806
esm_pca_42,0.004428974752918403
esm_pca_17,0.004396818858417682
esm_pca_45,0.004376164701845849
esm_pca_49,0.004366008987087147
esm_pca_30,0.004324849580756205
esm_pca_51,0.004317819236033462
esm_pca_44,0.004293375610674952
rama_prepro__delta,0.0042094081345896255
esm_pca_46,0.004115967181022292
n_repulsive_int,0.0035995723881392817
dslf_fa13,0.0021131623299679336
n_aromatic_stacking_int,0.0005447774476654116
dslf_fa13__delta,0.00016154141244613003
complex_normalized,2.423638367354016e-05
dG_cross/dSASAx100__delta,1.9882836655174903e-05
dG_cross,1.8450350566119687e-05
dG_cross/dSASAx100,1.3094893293273916e-05
dG_cross__delta,9.493271649751218e-06
complex_normalized__delta,6.166609638390288e-06
