feature,importance
sc,0.04390924799080427
hbond_density__unrest,0.03262595127938301
esm_pca_6,0.03163335150159279
n_hydrophobic_int,0.029744404465210702
hbond_density,0.02512382642516016
hbonds_int__unrest,0.02317897744875584
hbond_E_fraction__unrest,0.02080032714227887
esm_pca_0,0.01945466436569282
hbonds_int,0.019354756550980314
esm_pca_21,0.018915872022255368
hbond_E_fraction,0.018386398726395636
esm_pca_2,0.018105537580414086
n_hydrophobic_int__unrest,0.014157926432665719
delta_unsatHbonds__unrest,0.013890636510059418
sc__unrest,0.012809328115091908
dSASA_hphobic,0.012014467542987484
esm_pca_3,0.011955477322247441
esm_pca_12,0.010945174672387356
dSASA_ag,0.009889553914312482
dSASA_polar__unrest,0.009754458391228975
dSASA_vhh__unrest,0.009576506724098526
esm_pca_7,0.009534727715681823
n_repulsive_int__unrest,0.00948905811188325
dSASA_int,0.009124437927673102
omega__unrest,0.009001860273158257
esm_pca_10,0.00888443097305478
dSASA_int__unrest,0.008655275950541906
dSASA_vhh,0.008604762535209618
delta_unsatHbonds,0.00835656585955702
dSASA_polar,0.008312131627013301
esm_pca_5,0.008251340695295673
esm_pca_28,0.008101056775068952
dSASA_hphobic__unrest,0.008094456024944774
dSASA_ag__unrest,0.008037914008230207
esm_pca_19,0.007977096298199229
n_salt_bridges_int,0.007956849292101761
n_salt_bridges_int__unrest,0.00791197086479747
esm_pca_14,0.007900447684708045
esm_pca_1,0.007765151719527519
esm_pca_37,0.006949576841559143
esm_pca_9,0.006752477166240975
esm_pca_34,0.006660412707109118
yhh_planarity__unrest,0.006552623512398069
esm_pca_26,0.006537638768104704
esm_pca_8,0.006532365245640003
esm_pca_25,0.006505000716861605
hbond_sc__unrest,0.006485213255921963
esm_pca_36,0.006365489814472931
esm_pca_24,0.006314960807469483
esm_pca_29,0.006313579467272332
omega,0.006306780472082637
esm_pca_15,0.006234718064605118
esm_pca_32,0.00621022956030472
esm_pca_11,0.00619649454036428
esm_pca_23,0.006116456926607153
nres_int,0.006079921747295923
esm_pca_38,0.006046406559123569
esm_pca_39,0.006016898108585143
hbond_sc,0.006015168765940673
esm_pca_48,0.005960292313206164
hbond_lr_bb__unrest,0.005951286116434928
esm_pca_4,0.005950886858322704
pro_close__unrest,0.005943310943446186
esm_pca_20,0.005886312936947764
fa_atr,0.005870849077677574
esm_pca_17,0.005870156796591891
esm_pca_60,0.0058659025410065496
esm_pca_43,0.005863381187344693
esm_pca_47,0.005861290702877355
pro_close,0.005807303054849124
esm_pca_33,0.005799098526540642
esm_pca_55,0.00570936561775944
esm_pca_56,0.005668429349118256
esm_pca_61,0.005648393542685679
esm_pca_35,0.005619103408586746
esm_pca_59,0.005612803480058877
esm_pca_27,0.005611023408480002
hbond_lr_bb,0.005608512455435812
esm_pca_31,0.00560301883267726
esm_pca_22,0.00559008554377727
yhh_planarity,0.005574551861018811
esm_pca_50,0.005566026521955036
esm_pca_13,0.005555141521573688
esm_pca_57,0.0055259847652821825
esm_pca_53,0.005521002474683755
hbond_sr_bb__unrest,0.005520091213360912
nres_int_vhh,0.005504488974625804
esm_pca_46,0.005491344928790145
esm_pca_45,0.005472693724775554
esm_pca_16,0.0054490963931395206
esm_pca_63,0.005429190536968078
hbond_sr_bb,0.005406614322894147
esm_pca_52,0.005378786896361552
esm_pca_58,0.0053549097645099976
esm_pca_54,0.005345441017500537
esm_pca_30,0.005319133991211151
ref,0.005292748026882728
esm_pca_62,0.00525992784241745
esm_pca_40,0.005256258460020856
esm_pca_41,0.00522287808255997
esm_pca_49,0.0052086865131058206
hbond_bb_sc__unrest,0.005152797092134676
esm_pca_42,0.0050977827735522565
esm_pca_44,0.005091089209976327
esm_pca_51,0.00493743011182378
n_repulsive_int,0.004926519644464059
esm_pca_18,0.004891922604680162
nres_int_ag,0.004887007372656263
nres_int__unrest,0.0048562585255944165
nres_int_vhh__unrest,0.004856148816260661
rama_prepro__unrest,0.00482812251337707
hbond_bb_sc,0.0048135852915007354
ref__unrest,0.004708019177783877
rama_prepro,0.004701320605410434
fa_atr__unrest,0.004695948945598556
nres_int_ag__unrest,0.004450320478992003
dslf_fa13__unrest,0.0025268726123201767
dslf_fa13,0.002385913328221548
n_aromatic_stacking_int__unrest,0.0009817079576605982
n_aromatic_stacking_int,0.0008158778012442029
dG_cross/dSASAx100__unrest,2.093925810772184e-05
dG_cross,1.2655283649045166e-05
dG_cross/dSASAx100,1.1356387317595198e-05
complex_normalized__unrest,7.985516749765173e-06
dG_cross__unrest,4.502346852870803e-06
complex_normalized,3.319307999249965e-06
