feature,importance
hbond_density__unrest,0.04635794765410714
esm_pca_6,0.043830209345789906
hbonds_int__unrest,0.03560641901535465
hbond_E_fraction__unrest,0.032079490834195694
esm_pca_0,0.0266738276935274
esm_pca_21,0.02494416661053221
sc__unrest,0.023519797062478625
n_hydrophobic_int__unrest,0.023306075196854535
esm_pca_2,0.021093615822674487
delta_unsatHbonds__unrest,0.01751492241609627
dSASA_polar__unrest,0.015598836711205499
dSASA_hphobic__unrest,0.01501340773376904
dSASA_vhh__unrest,0.014746176850512998
n_salt_bridges_int__unrest,0.01416354850892691
dSASA_int__unrest,0.014069231986144936
dSASA_ag__unrest,0.01363069976419789
omega__unrest,0.013628050023311956
n_repulsive_int__unrest,0.012932558437254655
esm_pca_12,0.012854258295475889
esm_pca_3,0.012755375349029227
esm_pca_7,0.012752069994594778
esm_pca_5,0.011607880502502685
esm_pca_10,0.010836346858310393
esm_pca_19,0.010134541130426382
esm_pca_14,0.010099632549917014
esm_pca_1,0.010043282649666705
hbond_sc__unrest,0.009725895501638175
yhh_planarity__unrest,0.009724064438576855
esm_pca_28,0.009589578506868063
esm_pca_17,0.008905953043557917
hbond_bb_sc__unrest,0.008715815200126412
nres_int__unrest,0.008670541708536397
esm_pca_15,0.008650274746834885
esm_pca_36,0.008634541676908145
pro_close__unrest,0.008598101085765012
esm_pca_9,0.008494746168297778
esm_pca_29,0.008443515100178114
esm_pca_8,0.008395870001667942
hbond_lr_bb__unrest,0.008376933237222113
esm_pca_26,0.008315140614437756
esm_pca_24,0.008301109029387107
fa_atr__unrest,0.008296606745816525
hbond_sr_bb__unrest,0.008141187383241657
esm_pca_37,0.008140793106722251
esm_pca_23,0.00813000214860315
ref__unrest,0.008056781811937488
esm_pca_57,0.008039516960125977
esm_pca_48,0.008025954131063691
esm_pca_4,0.00797399382224179
esm_pca_20,0.007937217648564431
esm_pca_39,0.007930671608758997
esm_pca_25,0.007920150477225827
esm_pca_13,0.007840245035463123
esm_pca_34,0.007835686681346647
nres_int_ag__unrest,0.007802953927590283
rama_prepro__unrest,0.007743879455434041
esm_pca_32,0.007667981642651831
esm_pca_22,0.0076611047423787845
esm_pca_63,0.007649844793859927
esm_pca_47,0.007644063268126044
esm_pca_11,0.0076412943478248365
esm_pca_38,0.0075573721949347104
esm_pca_50,0.0075516332813019785
esm_pca_33,0.0073788459509656614
esm_pca_56,0.007337548582733944
esm_pca_54,0.007336906432706679
nres_int_vhh__unrest,0.007327685657109727
esm_pca_18,0.007317100890403067
esm_pca_43,0.007289451296401461
esm_pca_35,0.007269594782354894
esm_pca_60,0.007267534510358125
esm_pca_30,0.007265213235415476
esm_pca_55,0.007264043090703165
esm_pca_44,0.007213765411991714
esm_pca_46,0.0071990872280862424
esm_pca_53,0.0071827495748837105
esm_pca_61,0.007118792264298011
esm_pca_27,0.0071082531427440416
esm_pca_45,0.007106537760582502
esm_pca_16,0.0070733932834558455
esm_pca_52,0.007048445820865359
esm_pca_58,0.007006148794838445
esm_pca_59,0.006946462705982896
esm_pca_62,0.006854908969715114
esm_pca_40,0.006796904522130711
esm_pca_51,0.0067739614182526645
esm_pca_31,0.006693957448512213
esm_pca_41,0.0065897643200259915
esm_pca_42,0.006515410002656735
esm_pca_49,0.006476232028417343
dslf_fa13__unrest,0.0034214568932645333
n_aromatic_stacking_int__unrest,0.0012506676169329143
dG_cross__unrest,1.9219154714082146e-05
dG_cross/dSASAx100__unrest,1.7739962168417993e-05
complex_normalized__unrest,8.83297425397066e-06
