file,status,n_salt_bridges_int,n_aromatic_stacking_int,n_hydrophobic_int,n_repulsive_int
neg_1BJ1_cleaned__vhh_5OMN_cleaned_1.pdb,OK,0,0,0,0
neg_1CZ8_cleaned__vhh_7CX4_cleaned_2.pdb,OK,0,1,20,0
neg_1CZ8_cleaned__vhh_7JVB_cleaned_1.pdb,OK,0,0,8,0
neg_1G6V_cleaned__vhh_6Z2M_cleaned_1.pdb,OK,0,0,13,2
neg_1G6V_cleaned__vhh_6GKD_0_cleaned_2.pdb,OK,1,0,88,0
neg_1MEL_cleaned__vhh_3ZLQ_cleaned_2.pdb,OK,1,0,1,1
neg_1MHP_cleaned__vhh_3ZKX_0_cleaned_2.pdb,OK,0,0,3,0
neg_1MEL_cleaned__vhh_4C57_cleaned_1.pdb,OK,2,0,11,1
neg_1MVF_cleaned__vhh_8ONT_cleaned_2.pdb,OK,0,0,2,0
neg_1MHP_cleaned__vhh_4BFB_0_cleaned_1.pdb,OK,0,0,3,0
neg_1MVF_cleaned__vhh_7B14_cleaned_1.pdb,OK,0,0,13,0
neg_1OP9_cleaned__vhh_6UKT_0_cleaned_2.pdb,OK,0,0,1,0
neg_1RI8_cleaned__vhh_7ZOX_1_cleaned_2.pdb,OK,0,0,20,1
neg_1KXV_0_cleaned__vhh_5J1S_cleaned_1.pdb,OK,1,1,43,3
neg_1OP9_cleaned__vhh_3SN6_cleaned_1.pdb,OK,1,0,15,1
neg_1RJC_cleaned__vhh_6Z20_cleaned_1.pdb,OK,3,0,16,4
neg_1RI8_cleaned__vhh_9FWW_cleaned_1.pdb,OK,0,0,7,2
neg_1RJC_cleaned__vhh_8DAM_1_cleaned_2.pdb,OK,2,0,29,3
neg_1SQ2_0_cleaned__vhh_3P0G_cleaned_2.pdb,OK,0,0,26,0
neg_1T6V_0_cleaned__vhh_7JVB_cleaned_1.pdb,OK,3,0,18,0
neg_1XFP_cleaned__vhh_1ZVH_cleaned_2.pdb,OK,0,0,7,0
neg_1T6V_0_cleaned__vhh_7CKY_cleaned_2.pdb,OK,0,0,17,0
neg_1KXV_0_cleaned__vhh_8A67_cleaned_2.pdb,OK,3,0,49,6
neg_1XFP_cleaned__vhh_7KI1_cleaned_1.pdb,OK,2,1,23,0
neg_1SQ2_0_cleaned__vhh_5O04_1_cleaned_1.pdb,OK,0,0,53,1
neg_1ZMY_cleaned__vhh_6JB8_cleaned_1.pdb,OK,2,0,13,2
neg_1ZV5_cleaned__vhh_7SK5_cleaned_1.pdb,OK,0,0,38,4
neg_1ZVH_cleaned__vhh_6IBB_1_cleaned_1.pdb,OK,0,0,6,0
neg_1ZVH_cleaned__vhh_6XOX_cleaned_2.pdb,OK,1,0,11,1
neg_1ZV5_cleaned__vhh_7KI1_cleaned_2.pdb,OK,1,0,19,2
neg_2B2X_cleaned__vhh_5KU0_1_cleaned_1.pdb,OK,0,0,4,0
neg_1ZVY_cleaned__vhh_7S1M_cleaned_1.pdb,OK,2,0,26,0
neg_1ZVY_cleaned__vhh_5MP2_1_cleaned_2.pdb,OK,0,0,18,2
